condition,drugName,rating,usefulCount
Overactive Bladde,OnabotulinumtoxinA,1,51
Opiate Withdrawal,Methadone,2,18
Panic Disorde,Klonopin,10,75
Bacterial Vaginitis,Vandazole,9,25
Migraine Prevention,Topiramate,1,13
Back Pain,Acetaminophen / hydrocodone,8,16
Urinary Tract Infection,Ciprofloxacin,10,73
Seizures,Lacosamide,9,58
Pain,Tramadol,10,34
Birth Control,Reclipsen,10,9
Pain,Opana ER,8,23
Upper Respiratory Tract Infection,Amoxicillin,7,10
Birth Control,Orsythia,1,11
Birth Control,Microgestin Fe 1 / 20,7,24
Insomnia,Diphenhydramine,8,32
Hemorrhoids,Proctofoam,10,29
Multiple Sclerosis,Avonex,9,23
Migraine Prevention,Propranolol,10,96
Birth Control,Norethindrone,1,13
Schizophrenia,Aripiprazole,10,21
Birth Control,Ethinyl estradiol / norethindrone,10,44
Opiate Dependence,Naltrexone,1,2
Pain,Balacet,8,58
Alcohol Dependence,Campral,10,97
Weight Loss,Liraglutide,10,113
Acne,Differin,2,8
Birth Control,Copper,1,9
Opiate Dependence,Zubsolv,9,72
Muscle Spasm,Soma,10,83
Obesity,Contrave,8,35
Birth Control,Loestrin 24 Fe,8,7
Birth Control,Implanon,9,5
Birth Control,Mononessa,1,2
Breast Cance,Arimidex,2,84
Acne,Adapalene,10,7
"Diabetes, Type 2",Canagliflozin,8,77
Birth Control,Etonogestrel,7,3
Birth Control,Kyleena,8,1
Depression,Viibryd,4,15
Birth Control,Etonogestrel,1,6
Overactive Bladde,Mirabegron,6,43
Restless Legs Syndrome,Pramipexole,10,45
Pancreatic Exocrine Dysfunction,Creon,1,8
Uterine Fibroids,Lupron Depot,6,39
Osteoarthritis,Diclofenac,8,20
Acne,Adapalene / benzoyl peroxide,3,2
Benign Prostatic Hyperplasia,Rapaflo,10,41
Birth Control,Ethinyl estradiol / norethindrone,7,4
Panic Disorde,Clonazepam,9,180
Prevention of Bladder infection,Methenamine,10,10
Hyperhidrosis,Aluminum chloride hexahydrate,10,6
Birth Control,Etonogestrel,7,0
Restless Legs Syndrome,Gabapentin,9,56
Insomnia,Temazepam,10,24
Birth Control,Etonogestrel,10,3
Generalized Anxiety Disorde,Sertraline,9,35
Insomnia,Diphenhydramine,8,2
Bacterial Infection,Metronidazole,1,16
Emergency Contraception,Plan B,9,20
Vaginal Yeast Infection,Tioconazole,1,0
Generalized Anxiety Disorde,Lexapro,10,91
Birth Control,Etonogestrel,6,0
Major Depressive Disorde,Wellbutrin,10,69
Allergic Rhinitis,Dymista,10,15
Birth Control,Levonorgestrel,8,7
Birth Control,Ethinyl estradiol / norgestimate,10,18
Sciatica,Aleve,10,124
Birth Control,Ethinyl estradiol / levonorgestrel,5,6
Pain,Oxycodone,5,18
Birth Control,Ethinyl estradiol / norethindrone,5,2
Allergic Reactions,Aristocort,9,0
Depression,Vilazodone,1,16
Depression,Citalopram,9,68
Migraine,Zomig,9,6
Weight Loss,Belviq,9,20
Upper Respiratory Tract Infection,Doxycycline,8,41
Pain,Tramadol,9,61
Abnormal Uterine Bleeding,Levonorgestrel,10,13
Pain,Voltaren Gel,9,24
High Blood Pressure,Nebivolol,7,35
Emergency Contraception,Plan B One-Step,7,3
Bipolar Disorde,Topamax,9,58
Major Depressive Disorde,Fetzima,1,11
Interstitial Cystitis,Phenazopyridine,10,34
Anxiety and Stress,Fluoxetine,7,40
Major Depressive Disorde,Fetzima,5,10
Hepatitis C,Ledipasvir / sofosbuvir,10,54
Depression,Lexapro,10,15
Anxiety and Stress,Prozac,9,359
Obesity,Tenuate,10,54
Otitis Media,Clarithromycin,8,1
Smoking Cessation,Varenicline,10,24
"Organ Transplant, Rejection Prophylaxis",Tacrolimus,10,12
Birth Control,Desogestrel / ethinyl estradiol,5,2
Urinary Incontinence,VESIcare,2,23
Anxiety,Clonazepam,7,12
Obesity,Phentermine / topiramate,2,10
ADHD,Focalin,7,18
Birth Control,Skyla,7,1
"Diabetes, Type 1",Tresiba,1,14
Birth Control,Etonogestrel,8,2
Bipolar Disorde,Lamotrigine,6,5
Birth Control,Ethinyl estradiol / levonorgestrel,1,1
Vaginal Yeast Infection,Monistat 7-Day Combination Pack,1,10
Xerostomia,Saliva substitutes,10,52
Smoking Cessation,Bupropion,5,7
"Onychomycosis, Toenail",Efinaconazole,2,10
Psoriatic Arthritis,Infliximab,9,0
High Blood Pressure,Diovan HCT,9,17
Cold Sores,Benzocaine,8,16
Postmenopausal Symptoms,Estradiol,1,3
HIV Infection,Atripla,9,23
Muscle Spasm,Flexeril,2,6
Bowel Preparation,Suprep Bowel Prep Kit,10,13
Muscle Spasm,Methocarbamol,10,185
Birth Control,Ethinyl estradiol / folic acid / levonorgestrel,8,1
Vaginal Yeast Infection,Fluconazole,10,114
Alcohol Withdrawal,Gabapentin,9,118
Plaque Psoriasis,Otezla,10,23
Sinusitis,Augmentin,7,6
Bacterial Infection,Vancomycin,7,17
Bowel Preparation,Magnesium sulfate / potassium sulfate / sodium sulfate,9,17
Birth Control,Zarah,10,4
Bipolar Disorde,Zyprexa,10,56
Multiple Sclerosis,Tysabri,9,43
Narcolepsy,Nuvigil,9,27
Depression,Celexa,10,28
Birth Control,Xulane,9,5
Birth Control,Ortho Evra,5,1
Erectile Dysfunction,Cialis,4,6
Birth Control,Ethinyl estradiol / norethindrone,8,8
Rheumatoid Arthritis,Etanercept,10,22
Chronic Pain,Oxycodone,8,33
"Asthma, Maintenance",Asmanex Twisthaler,10,16
Nausea/Vomiting,Zofran,10,8
Birth Control,Nexplanon,9,0
Anxiety,Alprazolam,10,13
Insomnia,Simply Sleep,1,12
Neuropathic Pain,Lyrica,10,47
Insomnia,Zolpidem,10,72
Depression,Trintellix,9,92
Back Pain,Duloxetine,9,13
Birth Control,Etonogestrel,10,0
Motion Sickness,Transderm-Scop,9,4
Insomnia,Flurazepam,10,2
Bacterial Infection,Doxycycline,3,16
Anxiety and Stress,Paroxetine,5,28
High Blood Pressure,Lisinopril,1,84
Birth Control,Medroxyprogesterone,3,1
,Alcaftadine,8,2
Urinary Tract Infection,Sulfamethoxazole / trimethoprim,8,18
Chronic Pain,Oxycodone,9,60
Acne,Minocycline,10,93
Cough,Tussionex Pennkinetic,9,14
Bladder Infection,Cipro,3,44
Bipolar Disorde,Divalproex sodium,6,1
Birth Control,Ocella,3,3
Migraine,Sumatriptan,10,6
Pain,Oxymorphone,9,57
"Hypothyroidism, After Thyroid Removal",Cytomel,10,140
Sinusitis,Clarithromycin,3,7
Irritable Bowel Syndrome,Eluxadoline,7,29
Birth Control,Etonogestrel,1,3
Birth Control,Aubra,2,1
Rheumatoid Arthritis,Methotrexate,5,38
Depression,Tramadol,8,101
Epilepsy,Mephobarbital,10,20
Weight Loss,Phentermine,9,27
GERD,Prilosec OTC,9,57
Cough and Nasal Congestion,Guaifenesin / pseudoephedrine,8,27
Birth Control,Ethinyl estradiol / norelgestromin,2,6
Peripheral Neuropathy,Pregabalin,9,25
Birth Control,Tri-Linyah,9,3
Depression,Bupropion,9,17
Anxiety,Hydroxyzine,1,19
Depression,Sertraline,1,72
Weight Loss,Qsymia,10,80
High Blood Pressure,Amlodipine,1,197
Pain,Acetaminophen / oxycodone,8,33
"Diabetes, Type 2",Liraglutide,10,19
Narcolepsy,Sodium oxybate,9,9
Insomnia,Ambien,10,22
Birth Control,Nexplanon,4,5
Anxiety,Klonopin,10,72
Endometriosis,Depo-Provera,3,4
Obesity,Bupropion / naltrexone,1,12
Rosacea,Soolantra,9,25
Insomnia,Doxylamine,1,15
Pain,OxyContin,10,14
Depression,Lexapro,7,20
Birth Control,Nexplanon,7,6
Weight Loss,Contrave,10,43
Smoking Cessation,Chantix,9,29
Weight Loss,Phentermine,8,14
Psoriasis,Ustekinumab,3,14
Pain,Norco,3,36
Anxiety,Diazepam,10,70
Hypertriglyceridemia,Fenofibrate,1,95
Bowel Preparation,Suprep Bowel Prep Kit,10,19
Bacterial Infection,Flagyl,8,3
Panic Disorde,Klonopin,10,46
Anxiety,Tramadol,10,141
Weight Loss,Adipex-P,10,15
Major Depressive Disorde,Escitalopram,10,45
Obesity,Alli,10,27
Acne,Minocycline,9,27
Acne,Azelaic acid,9,22
Nausea/Vomiting,Metoclopramide,1,45
Endometriosis,Lutera,3,0
Birth Control,Ethinyl estradiol / norelgestromin,9,10
Pulmonary Hypertension,Ambrisentan,2,2
Period Pain,Diclofenac,10,7
Bowel Preparation,Prepopik,1,0
Pain,Acetaminophen / oxycodone,9,70
Birth Control,Levonorgestrel,8,3
Birth Control,Aubra,2,0
Pain,OxyContin,9,695
Schizophrenia,Vraylar,9,17
Pain,Percocet,10,51
Insomnia,Doxepin,1,11
High Cholesterol,Crestor,10,62
Pain,Tramadol,1,13
ADHD,Concerta,5,38
Bipolar Disorde,Lurasidone,3,17
Bacterial Infection,Sulfamethoxazole / trimethoprim,1,20
Birth Control,Sharobel,1,10
Acne,Sulfamethoxazole / trimethoprim,10,18
Emergency Contraception,Plan B One-Step,10,6
Depression,Desvenlafaxine,8,7
ibromyalgia,Lyrica,8,29
ADHD,Methylphenidate,1,18
Benign Prostatic Hyperplasia,Tamsulosin,1,11
Seizures,Trileptal,8,59
Depression,Pristiq,10,93
Birth Control,Apri,10,7
Cough,Tussionex Pennkinetic,10,4
Psoriatic Arthritis,Simponi,5,11
Birth Control,Levora,1,5
Birth Control,TriNessa,3,2
Anxiety and Stress,Fluoxetine,1,26
Restless Legs Syndrome,Pramipexole,10,10
"Ulcerative Colitis, Active",Lialda,4,26
Seizure Prevention,Clonazepam,8,13
Multiple Sclerosis,Fingolimod,9,64
Birth Control,Ethinyl estradiol / levonorgestrel,1,6
Cough and Nasal Congestion,Bromfed DM,9,21
Bladder Infection,Macrobid,2,14
Generalized Anxiety Disorde,Cymbalta,10,103
Psoriasis,Taclonex,2,11
Birth Control,Drospirenone / ethinyl estradiol,4,1
Migraine,Metoclopramide,1,3
Emergency Contraception,Plan B,9,5
Birth Control,Lo Loestrin Fe,10,14
Anxiety and Stress,Citalopram,2,82
Birth Control,TriNessa,2,5
Birth Control,Skyla,5,5
Pain,Norco,9,51
4</span> users found this comment helpful.,Loestrin 24 Fe,5,4
Bipolar Disorde,Lithium,10,60
Autism,Aripiprazole,8,3
Birth Control,Ethinyl estradiol / norgestimate,9,23
Vaginal Yeast Infection,Miconazole,3,15
Birth Control,Ethinyl estradiol / norgestimate,10,0
3</span> users found this comment helpful.,Seasonique,3,3
Erectile Dysfunction,Alprostadil,9,15
Vaginal Yeast Infection,Tioconazole,1,0
Birth Control,Nexplanon,1,7
Bipolar Disorde,Lamotrigine,9,5
"Onychomycosis, Toenail",Terbinafine,9,23
Pain,Morphine,9,105
Birth Control,Taytulla,1,2
Crohn's Disease,Adalimumab,10,56
Birth Control,Ethinyl estradiol / norgestimate,1,3
Constipation,Bisacodyl,9,1
Cold Symptoms,Acetaminophen / chlorpheniramine / dextromethorphan / pseudoephedrine,2,5
Obesity,Liraglutide,1,10
Weight Loss,Victoza,9,55
Major Depressive Disorde,Vilazodone,9,36
Birth Control,Implanon,10,2
Multiple Sclerosis,Gilenya,10,165
Premenstrual Syndrome,Ethinyl estradiol / levonorgestrel,10,0
Migraine Prevention,Topiramate,8,26
Birth Control,Tri-Sprintec,5,11
Migraine Prevention,Botox,9,6
Birth Control,Nexplanon,2,1
Insomnia,Eszopiclone,10,56
Birth Control,Liletta,1,0
Menorrhagia,Tranexamic acid,4,19
Major Depressive Disorde,Vortioxetine,9,16
Bipolar Disorde,Abilify,10,46
Obesity,Liraglutide,8,8
"Constipation, Chronic",Linzess,9,103
Obesity,Bupropion / naltrexone,9,24
Anxiety,Klonopin,5,34
Muscle Spasm,Soma,9,80
Migraine Prevention,Topamax,8,31
Restless Legs Syndrome,Horizant,9,13
Seizures,Lacosamide,9,41
Urinary Tract Infection,Sulfamethoxazole / trimethoprim,2,5
Premature Lab,Makena,1,18
Depression,Fluoxetine,10,115
"Constipation, Chronic",Linaclotide,10,82
Constipation,Bisacodyl,10,3
ADHD,Methylphenidate,10,13
Birth Control,Skyla,5,5
Back Pain,Tramadol,8,27
Birth Control,Nexplanon,2,7
Rosacea,Soolantra,1,0
Angina Pectoris Prophylaxis,Isosorbide mononitrate,1,6
Generalized Anxiety Disorde,Escitalopram,4,31
Birth Control,Mirena,7,4
Erectile Dysfunction,Tadalafil,10,13
High Blood Pressure,Olmesartan,9,21
Sinusitis,Azithromycin,10,62
Depression,Zoloft,9,40
Bipolar Disorde,Lamictal,9,54
Bronchitis,Ciprofloxacin,10,24
Pain,Hydromorphone,10,10
Migraine Prevention,Topamax,1,24
Insomnia,Ativan,9,83
Weight Loss,Belviq,10,94
ADHD,Lisdexamfetamine,10,38
Birth Control,Cryselle,5,1
Otitis Media,Antipyrine / benzocaine,10,16
Panic Disorde,Propranolol,10,1
Bacterial Skin Infection,Bactrim DS,7,19
Anxiety and Stress,Fluoxetine,10,36
Birth Control,Ortho Tri-Cyclen,7,4
High Blood Pressure,Atenolol,10,0
Pain,Avinza,9,23
Migraine Prevention,Topamax,1,19
Acne,Duac,10,9
Strep Throat,Clarithromycin,10,11
Premenstrual Dysphoric Disorde,Fluoxetine,10,85
Vaginal Yeast Infection,Tioconazole,10,3
Birth Control,Medroxyprogesterone,6,1
Pain,Hysingla ER,1,23
Depression,Escitalopram,7,21
Birth Control,Ethinyl estradiol / norethindrone,1,2
Depression,Paroxetine,7,5
Emergency Contraception,Levonorgestrel,1,5
ADHD,Amphetamine / dextroamphetamine,8,13
Depression,Modafinil,6,12
Edema,Furosemide,4,90
Birth Control,Etonogestrel,9,1
Psoriasis,Lidex,10,14
Vaginal Yeast Infection,Tioconazole,3,0
Weight Loss,Bupropion / naltrexone,9,21
Hemorrhoids,Pramoxine,9,37
Urticaria,Cetirizine,1,7
Endometriosis,Leuprolide,2,7
Migraine,Sumatriptan,9,4
Constipation,Phillips' Milk of Magnesia,10,29
Birth Control,Mircette,10,28
Panic Disorde,Clonazepam,10,10
Acne,Drospirenone / ethinyl estradiol,10,0
Birth Control,Lo Loestrin Fe,4,8
Birth Control,Ethinyl estradiol / norethindrone,1,9
Intermittent Claudication,Trental,8,21
Muscle Spasm,Cyclobenzaprine,5,30
Hyperekplexia,Klonopin,8,5
Muscle Spasm,Flexeril,4,27
High Blood Pressure,Zestril,7,88
Narcolepsy,Armodafinil,8,19
Postpartum Depression,Paroxetine,8,55
Birth Control,Mirena,10,14
Acne,Ziana,7,15
Cough and Nasal Congestion,Guaifenesin / pseudoephedrine,7,14
Rosacea,Soolantra,10,9
Pneumonia,Levofloxacin,10,34
ADHD,Methylphenidate,5,25
Cough,Benzonatate,1,17
Osteoarthritis,Synvisc-One,1,15
Birth Control,Copper,3,1
Smoking Cessation,Bupropion,10,22
Chronic Pain,Oxycodone,8,17
High Blood Pressure,Amlodipine / atorvastatin,1,1
Migraine,Treximet,10,20
Juvenile Idiopathic Arthritis,Tocilizumab,9,17
Weight Loss,Belviq,3,55
Plaque Psoriasis,Ixekizumab,9,2
Borderline Personality Disorde,Quetiapine,9,19
Cold Sores,Famvir,8,26
Breast Cance,Anastrozole,9,101
Vaginal Yeast Infection,Miconazole,1,5
Pain,Neurontin,8,50
Seizures,Keppra,6,31
Anxiety and Stress,Fluvoxamine,1,8
Vaginal Yeast Infection,Fluconazole,10,75
Insomnia,Trazodone,8,70
Birth Control,Levonorgestrel,10,4
Restless Legs Syndrome,Clonazepam,4,55
"Asthma, Maintenance",Zafirlukast,10,11
Pain,Dilaudid,10,17
Constipation,Dulcolax,7,8
Migraine,Imitrex,10,11
Overactive Bladde,Myrbetriq,10,56
GERD,Omeprazole,7,3
Bladder Infection,Monurol,1,2
Hyperhidrosis,Aluminum chloride hexahydrate,10,12
Pain,Lidocaine,1,26
Birth Control,Implanon,8,4
Birth Control,Ethinyl estradiol / levonorgestrel,9,5
Anxiety,Hydroxyzine,8,70
High Blood Pressure,Coreg,10,47
Emergency Contraception,Levonorgestrel,10,1
Depression,Effexor XR,9,51
Rosacea,Oracea,10,31
Pain,Gabapentin,6,48
"Gout, Acute",Naproxen,10,43
High Blood Pressure,Hydrochlorothiazide,9,27
Anxiety,Buspirone,1,50
Dumping Syndrome,Cholestyramine,10,50
"Ulcerative Colitis, Active",Lialda,9,18
Birth Control,Ethinyl estradiol / levonorgestrel,8,5
Anxiety,Diazepam,9,25
Acne,Accutane,10,29
Birth Control,Ethinyl estradiol / norgestimate,8,10
"Herpes Simplex, Suppression",Valtrex,10,26
Abnormal Uterine Bleeding,Ethinyl estradiol / levonorgestrel,3,8
Restless Legs Syndrome,Tramadol,10,67
Acne,Isotretinoin,10,3
Major Depressive Disorde,Abilify,8,3
ADHD,Amphetamine / dextroamphetamine,8,13
Post Traumatic Stress Disorde,Prazosin,2,14
Birth Control,Ethinyl estradiol / etonogestrel,8,9
Birth Control,Medroxyprogesterone,8,11
Constipation,Bisacodyl,5,6
Acne,Drospirenone / ethinyl estradiol,8,10
Generalized Anxiety Disorde,Escitalopram,10,50
Overactive Bladde,Detrol,9,30
Bipolar Disorde,Lamictal,10,102
ibromyalgia,Pregabalin,6,113
Pain,Dilaudid,10,38
Depression,Venlafaxine,1,18
High Cholesterol,Atorvastatin,1,29
Depression,Amitriptyline,1,11
Osteoarthritis,Euflexxa,10,28
Birth Control,Ethinyl estradiol / levonorgestrel,1,0
Weight Loss,Phentermine,10,75
Birth Control,Yaz,7,2
Acne,Accutane,4,6
Major Depressive Disorde,Zoloft,10,28
Endometriosis,Seasonique,10,19
Depression,Alprazolam,10,151
Chronic Myelogenous Leukemia,Tasigna,10,11
Diabetic Peripheral Neuropathy,Tapentadol,10,1
Hypersomnia,Armodafinil,8,5
Muscle Spasm,Flexeril,10,17
Birth Control,Estarylla,1,6
Birth Control,Desogestrel / ethinyl estradiol,9,13
Birth Control,Tri-Lo-Estarylla,1,2
Birth Control,ParaGard,9,7
Depression,Effexor XR,6,44
Urinary Tract Stones,Flomax,1,22
Insulin Resistance Syndrome,Glucophage,3,57
Birth Control,Etonogestrel,10,7
Anxiety,Paroxetine,6,51
Pain,Acetaminophen / hydrocodone,9,4
Birth Control,Junel Fe 1 / 20,5,20
Opiate Dependence,Suboxone,9,49
Irritable Bowel Syndrome,Eluxadoline,8,20
Sinusitis,Amoxicillin / clavulanate,1,11
Depression,Pristiq,7,44
Birth Control,Camrese,4,4
"Diabetes, Type 2",Bydureon,9,27
Birth Control,Etonogestrel,10,8
Obesity,Liraglutide,4,12
Iron Deficiency Anemia,Ferrous sulfate,10,91
Acne,Isotretinoin,10,28
Birth Control,Copper,10,24
"Diabetes, Type 2",Dulaglutide,2,0
Eye Redness/Itching,Naphazoline / pheniramine,10,22
Birth Control,Mirena,8,12
Depression,Nortriptyline,1,2
Insomnia,Trazodone,3,41
Post Traumatic Stress Disorde,Prazosin,1,24
Depression,Viibryd,10,48
Constipation,Polyethylene glycol 3350,1,19
Emergency Contraception,Levonorgestrel,8,20
Birth Control,Drospirenone / ethinyl estradiol,8,0
Depression,Sertraline,3,27
"Onychomycosis, Toenail",Terbinafine,10,122
Birth Control,Ethinyl estradiol / norgestimate,2,2
Weight Loss,Phentermine,9,66
Acne,Differin,10,116
Epilepsy,Carbatrol,5,17
Narcolepsy,Nuvigil,9,13
Birth Control,Loestrin 24 Fe,3,0
Vaginal Yeast Infection,Diflucan,8,33
Social Anxiety Disorde,Sertraline,10,41
Migraine Prevention,Klonopin,3,22
Weight Loss,Belviq,10,131
Bacterial Infection,Clindamycin,10,55
Vaginal Yeast Infection,Tioconazole,10,9
Insomnia,Mirtazapine,8,56
Bowel Preparation,Citric acid / magnesium oxide / sodium picosulfate,1,7
"Ulcerative Colitis, Active",Balsalazide,9,10
Myasthenia Gravis,Prostigmin Bromide,10,1
Birth Control,Etonogestrel,3,0
Bacterial Infection,Metronidazole,10,3
Depression,Tranylcypromine,10,78
Panic Disorde,Xanax,8,29
Neuropathic Pain,Lyrica,6,25
Birth Control,Sprintec,7,10
Birth Control,Sprintec,6,2
Chronic Pain,Fentanyl Transdermal System,8,40
Insomnia,Zaleplon,10,30
High Cholesterol,Niaspan,6,13
Spondyloarthritis,Diclofenac,1,3
"Diabetes, Type 2",Dulaglutide,3,17
Abnormal Uterine Bleeding,Medroxyprogesterone,1,17
Chronic Pain,Cymbalta,8,53
Atopic Dermatitis,Tacrolimus,5,11
Weight Loss,Phentermine,9,26
Seizures,Zonisamide,8,40
Birth Control,Etonogestrel,5,6
Vaginal Yeast Infection,Miconazole,1,5
Erectile Dysfunction,Levitra,1,13
Back Pain,Naproxen,10,66
Allergic Rhinitis,Mometasone,9,40
Bipolar Disorde,Lamotrigine,10,44
Depression,Bupropion,10,249
Pain,Indocin SR,6,3
Allergies,Levocetirizine,2,1
Headache,Esgic-Plus,10,12
Upper Respiratory Tract Infection,Azithromycin,10,39
Restless Legs Syndrome,Mirapex,10,41
Birth Control,Mirena,1,3
Constipation,Bisacodyl,8,13
Benign Essential Trem,Primidone,1,41
Bulimia,Topamax,8,23
Birth Control,Etonogestrel,10,3
Rheumatoid Arthritis,Enbrel,2,26
Cough,Benzonatate,1,8
Depression,Pristiq,7,142
Allergic Rhinitis,Azelastine,10,18
Benign Prostatic Hyperplasia,Avodart,9,27
Insomnia,Edluar,10,8
Period Pain,Naproxen,10,4
Constipation,Dulcolax,8,32
Depression,Venlafaxine,8,46
Anxiety,Escitalopram,10,18
Birth Control,Drospirenone / ethinyl estradiol,4,3
Birth Control,Cryselle,3,5
Bladder Infection,Ciprofloxacin,10,4
Chronic Idiopathic Constipation,Trulance,9,3
Vaginal Yeast Infection,Fluconazole,10,50
Nausea/Vomiting,Reglan,1,6
Motion Sickness,Meclizine,10,55
Neuralgia,Pregabalin,1,9
Allergic Rhinitis,Triamcinolone,3,17
Depression,Vilazodone,6,203
Allergies,Levocetirizine,6,17
Anxiety and Stress,Paroxetine,10,174
Nasal Congestion,Claritin-D,3,9
Depression,Lexapro,6,21
Birth Control,Implanon,1,0
Supraventricular Tachycardia,Cardizem CD,6,45
Birth Control,Ethinyl estradiol / norgestimate,8,8
Birth Control,Ethinyl estradiol / norethindrone,3,28
Hepatitis C,Ledipasvir / sofosbuvir,10,18
Birth Control,Mirena,10,19
Birth Control,Ethinyl estradiol / norethindrone,9,3
Pain,Gabapentin,8,25
Birth Control,Ethinyl estradiol / etonogestrel,10,16
Birth Control,Drospirenone / ethinyl estradiol,10,5
Birth Control,Yaz,10,6
Birth Control,Ethinyl estradiol / norgestimate,5,3
Emergency Contraception,Plan B,10,4
Sciatica,Diclofenac,7,22
Bacterial Skin Infection,Sulfamethoxazole / trimethoprim,8,12
Abnormal Uterine Bleeding,Medroxyprogesterone,10,9
Birth Control,Etonogestrel,7,7
Birth Control,Ethinyl estradiol / norelgestromin,9,4
Hepatitis C,Incivek,10,8
Weight Loss,Lorcaserin,10,10
Rheumatoid Arthritis,Etanercept,10,30
Anxiety,Hydroxyzine,1,29
Weight Loss,Belviq,10,35
Alcohol Dependence,Campral,9,91
Bowel Preparation,Magnesium sulfate / potassium sulfate / sodium sulfate,2,3
Birth Control,Sharobel,1,8
Birth Control,Beyaz,3,1
Bronchitis,Bactrim,9,15
Anxiety and Stress,Sertraline,8,44
Hepatitis C,Zepatier,9,21
Birth Control,Mirena,9,3
Migraine,Reglan,9,21
Birth Control,Tri-Sprintec,8,25
Migraine,Relpax,10,14
Depression,Duloxetine,10,10
Anxiety,Escitalopram,8,48
Birth Control,Medroxyprogesterone,10,6
Schizophrenia,Geodon,6,14
Urinary Tract Infection,Sulfamethoxazole / trimethoprim,9,37
Opiate Dependence,Subutex,10,62
Birth Control,Nexplanon,3,5
Anxiety,Vistaril,1,30
Cervical Dystonia,Botox,7,16
Migraine,Cambia,9,4
Anxiety,Lorazepam,9,7
Otitis Media,Ciprodex,9,24
Mania,Divalproex sodium,7,5
Weight Loss,Phentermine,8,26
Allergic Rhinitis,Montelukast,1,5
Pain,Buprenorphine,4,8
Pain,Acetaminophen / tramadol,9,4
GERD,Omeprazole,8,25
Diabetic Peripheral Neuropathy,Gabapentin,8,39
Alopecia,Minoxidil,8,45
"High Cholesterol, Familial Heterozygous",Repatha,10,50
Depression,Venlafaxine,2,32
Chronic Lymphocytic Leukemia,Imbruvica,4,11
Abnormal Uterine Bleeding,Ethinyl estradiol / norethindrone,9,3
Birth Control,Orsythia,1,4
Post Traumatic Stress Disorde,Sertraline,9,25
Bipolar Disorde,Risperidone,5,10
Weight Loss,Phentermine,5,14
Bipolar Disorde,Lurasidone,9,44
Postherpetic Neuralgia,Gabapentin,1,2
Anxiety,Klonopin,9,92
Hot Flashes,Gabapentin,9,109
Smoking Cessation,Bupropion,10,25
Birth Control,Ethinyl estradiol / levonorgestrel,4,0
Bacterial Infection,Sulfamethoxazole / trimethoprim,10,11
Constipation,Magnesium citrate,10,35
Birth Control,Mirena,3,17
Schizophrenia,Olanzapine,8,22
Birth Control,Sprintec,5,2
Acne,Isotretinoin,2,13
Birth Control,Copper,1,2
Opiate Dependence,Subutex,10,42
Pulmonary Hypertension,Treprostinil,9,8
Birth Control,Etonogestrel,9,4
Allergic Rhinitis,Zyrtec,10,14
Birth Control,Etonogestrel,3,3
Temporomandibular Joint Disorde,Cyclobenzaprine,4,16
Ulcerative Colitis,Colazal,8,5
Bowel Preparation,MoviPrep,10,15
Bipolar Disorde,Latuda,9,40
Depression,Vortioxetine,9,51
Birth Control,Seasonique,10,5
Myelodysplastic Syndrome,Azacitidine,4,65
Rheumatoid Arthritis,Gold sodium thiomalate,10,1
Bipolar Disorde,Lamotrigine,10,16
Anesthesia,Propofol,4,0
Birth Control,ParaGard,10,5
Weight Loss,Phentermine,1,8
Barrett's Esophagus,Protonix,10,71
Migraine Prevention,Topiramate,1,16
Opiate Dependence,Zubsolv,10,37
Pain,Ultram ER,9,36
Birth Control,Skyla,4,5
Depression,St. john's wort,10,61
Headache,Acetaminophen / butalbital / caffeine,10,10
Vaginal Yeast Infection,Tioconazole,7,2
Postpartum Depression,Effexor,4,1
Pain,Morphine,10,15
Cough,Guaifenesin,1,44
Weight Loss,Phentermine,7,27
Birth Control,Ethinyl estradiol / levonorgestrel,10,4
Pain,Tramadol,8,37
ADHD,Concerta,6,69
Overactive Bladde,Sanctura,7,39
Smoking Cessation,Varenicline,9,6
Birth Control,Ortho Micronor,2,0
Benign Prostatic Hyperplasia,Silodosin,8,44
Underactive Thyroid,Armour Thyroid,9,18
emale Infertility,Clomid,1,5
Pain,Oxycodone,10,60
Birth Control,NuvaRing,1,7
Endometriosis,Ethinyl estradiol / levonorgestrel,9,0
Erectile Dysfunction,Avanafil,8,1
"Burns, External",Silvadene,10,47
Bronchitis,Moxifloxacin,10,18
Acne,Minocin,8,16
Acne,Isotretinoin,8,8
Migraine Prevention,Topiramate,1,31
Depression,Escitalopram,4,65
Depression,Prozac,10,60
Muscle Pain,Ibuprofen,10,30
Depression,Vortioxetine,5,1
Birth Control,Minastrin 24 Fe,9,8
Birth Control,Mirena,8,13
Bipolar Disorde,Seroquel XR,9,7
Cold Sores,Acyclovir,7,0
Pain,Acetaminophen / hydrocodone,10,40
Abnormal Uterine Bleeding,Medroxyprogesterone,8,14
Schizoaffective Disorde,Aripiprazole,3,6
Epilepsy,Depakote ER,8,15
Birth Control,Estarylla,2,2
Insomnia,Trazodone,9,17
Obesity,Bupropion / naltrexone,9,2
Deep Vein Thrombosis,Rivaroxaban,7,16
Depression,Phenelzine,7,4
Depression,Cymbalta,6,30
"Hyperlipoproteinemia Type IIa, Elevated LDL",Colesevelam,8,70
Pelvic Inflammatory Disease,Metronidazole,6,4
Acne,Benzoyl peroxide / clindamycin,10,41
Anxiety,Pristiq,9,16
